iter	RMSE
0	14.88130712
1	14.67316622
2	14.4803545
3	14.30177745
4	14.13764336
5	13.98632593
6	13.84744823
7	13.71770764
8	13.59759457
9	13.48774851
10	13.38780116
11	13.29612955
12	13.21224852
13	13.13495592
14	13.06419184
15	12.99924034
16	12.93797832
17	12.88855811
18	12.83804505
19	12.79099491
20	12.74857764
21	12.70904653
22	12.67356055
23	12.64044173
24	12.60967926
25	12.58255368
26	12.55806219
27	12.53569297
28	12.51311596
29	12.49266209
30	12.47499213
31	12.45918673
32	12.444455
33	12.43022554
34	12.41784059
35	12.40703781
36	12.39705345
37	12.38794424
38	12.3823074
39	12.3757633
40	12.36872282
41	12.36184919
42	12.35557425
43	12.34983727
44	12.34377998
45	12.33200154
46	12.31898788
47	12.30332085
48	12.29711049
49	12.28835142
50	12.2810198
51	12.27219487
52	12.2634602
53	12.25758927
54	12.25059197
55	12.24132255
56	12.2319176
57	12.22406295
58	12.22056513
59	12.20802551
60	12.2017126
61	12.19040484
62	12.18484066
63	12.18256153
64	12.17981485
65	12.17737368
66	12.16834457
67	12.16234151
68	12.15694659
69	12.15408191
70	12.15103384
71	12.14784802
72	12.14421467
73	12.14075883
74	12.14052119
75	12.14014466
76	12.13991423
77	12.13394462
78	12.13364846
79	12.13244906
80	12.13229287
81	12.13186802
82	12.12889631
83	12.12302486
84	12.11793215
85	12.11528235
86	12.11050834
87	12.10964508
88	12.10956309
89	12.10511793
90	12.10493252
91	12.10139809
92	12.09868287
93	12.09717046
94	12.09490781
95	12.09313926
96	12.09267251
97	12.09131467
98	12.0892836
99	12.08797569
100	12.08677093
101	12.08540282
102	12.08495077
103	12.0847918
104	12.08240798
105	12.08231775
106	12.07804408
107	12.07652921
108	12.07639395
109	12.07505582
110	12.07505578
111	12.07487856
112	12.07363832
113	12.0736251
114	12.07314188
115	12.07312534
116	12.07189124
117	12.07106756
118	12.07067238
119	12.07061307
120	12.06821608
121	12.06652816
122	12.06595229
123	12.06454195
124	12.06361422
125	12.06359795
126	12.06359521
127	12.06358029
128	12.06292543
129	12.06000548
130	12.05839268
131	12.05667868
132	12.05667864
133	12.05646468
134	12.05581852
135	12.05291798
136	12.05255648
137	12.05254993
138	12.05012133
139	12.05008958
140	12.04896591
141	12.04896589
142	12.04727594
143	12.04721148
144	12.04721146
145	12.04589783
146	12.04585249
147	12.04507951
148	12.04507576
149	12.04495481
150	12.04484108
151	12.04484106
152	12.04320298
153	12.04318023
154	12.04180991
155	12.0410677
156	12.03958187
157	12.03948443
158	12.03948443
159	12.03817547
160	12.03797096
161	12.03748402
162	12.03644248
163	12.03580769
164	12.03448475
165	12.03403552
166	12.03403548
167	12.03125133
168	12.02913908
169	12.02830152
170	12.02813328
171	12.02768192
172	12.02767577
173	12.02752987
174	12.02653287
175	12.02573481
176	12.02439938
177	12.02435821
178	12.02431524
179	12.02336908
180	12.02326598
181	12.0221874
182	12.0220363
183	12.02190759
184	12.02190246
185	12.02116435
186	12.02068602
187	12.01914415
188	12.01690485
189	12.015949
190	12.015107
191	12.014618
192	12.0132313
193	12.0123627
194	12.00994918
195	12.00893698
196	12.0073073
197	12.00700828
198	12.00594894
199	12.00590996
200	12.00391569
201	12.00254151
202	12.00077813
203	11.99970751
204	11.99845558
205	11.99690152
206	11.99580604
207	11.99518207
208	11.99396353
209	11.99304889
210	11.99145415
211	11.99054253
212	11.99016115
213	11.98934834
214	11.98889329
215	11.98798084
216	11.98747016
217	11.98690011
218	11.98570288
219	11.98453211
220	11.98337466
221	11.98295607
222	11.98256795
223	11.98174265
224	11.98063581
225	11.98045194
226	11.97979454
227	11.97875754
228	11.97789277
229	11.97679914
230	11.9761673
231	11.97614663
232	11.97543425
233	11.97513115
234	11.97489839
235	11.97399855
236	11.97346355
237	11.97315338
238	11.97314881
239	11.97264203
240	11.97208904
241	11.97170904
242	11.97139646
243	11.97113402
244	11.97065445
245	11.97029729
246	11.96961116
247	11.96893136
248	11.96834636
249	11.96784937
250	11.96749726
251	11.96703497
252	11.96652972
253	11.96615961
254	11.96567951
255	11.96532741
256	11.96499076
257	11.96455432
258	11.96430981
259	11.96386357
260	11.96361696
261	11.96315289
262	11.96263051
263	11.96234258
264	11.96191251
265	11.96179013
266	11.96149485
267	11.96102719
268	11.960871
269	11.96058514
270	11.96044108
271	11.96008353
272	11.95985361
273	11.95932232
274	11.95884481
275	11.95838731
276	11.95809297
277	11.95794963
278	11.95764393
279	11.9572127
280	11.95681791
281	11.95681424
282	11.95671915
283	11.95639075
284	11.95631068
285	11.95618931
286	11.95618868
287	11.95599702
288	11.95584813
289	11.95567815
290	11.95540436
291	11.95508295
292	11.95495824
293	11.9549056
294	11.95465093
295	11.95440859
296	11.9542679
297	11.95409943
298	11.9540304
299	11.95393574
300	11.95382334
301	11.9536128
302	11.95353849
303	11.9534315
304	11.9532901
305	11.9530719
306	11.95278966
307	11.95256479
308	11.95238379
309	11.95229687
310	11.9521036
311	11.95204851
312	11.95198758
313	11.95179635
314	11.95161242
315	11.95161241
316	11.95138621
317	11.9512669
318	11.95115473
319	11.95104456
320	11.9508795
321	11.95083946
322	11.95078495
323	11.95061428
324	11.95035569
325	11.950266
326	11.95009443
327	11.95009263
328	11.95009091
329	11.95000032
330	11.94998285
331	11.94988967
332	11.94973877
333	11.94963954
334	11.94949062
335	11.94938362
336	11.9492998
337	11.94921014
338	11.94894772
339	11.94890929
340	11.94883585
341	11.94869998
342	11.94856049
343	11.9485589
344	11.94855874
345	11.94839666
346	11.94839519
347	11.94834254
348	11.94827341
349	11.94827327
350	11.94827196
351	11.94812443
352	11.94802722
353	11.94788178
354	11.9478175
355	11.94781737
356	11.94781206
357	11.94781077
358	11.94768498
359	11.94755739
360	11.94746476
361	11.94742298
362	11.94742164
363	11.94735534
364	11.94731238
365	11.94717472
366	11.9470973
367	11.94697674
368	11.94697651
369	11.94694179
370	11.94694156
371	11.94691812
372	11.94681063
373	11.94673116
374	11.94663375
375	11.94659593
376	11.9465051
377	11.9464702
378	11.94634372
379	11.9463151
380	11.94627155
381	11.94627132
382	11.94618643
383	11.94617122
384	11.94614939
385	11.94606932
386	11.94602847
387	11.94590396
388	11.94574152
389	11.94572151
390	11.94566764
391	11.94566628
392	11.94556926
393	11.9455115
394	11.94549816
395	11.94546997
396	11.9453779
397	11.94532997
398	11.94526907
399	11.94526884
400	11.94522649
401	11.94522624
402	11.94520633
403	11.94517226
404	11.94512892
405	11.94512869
406	11.94512751
407	11.94504138
408	11.94502648
409	11.94502537
410	11.94494491
411	11.9448729
412	11.94487009
413	11.94486904
414	11.94485729
415	11.94485711
416	11.94479731
417	11.94477972
418	11.94465034
419	11.94458509
420	11.94449354
421	11.94444012
422	11.94440484
423	11.94434089
424	11.94432482
425	11.94426333
426	11.94422746
427	11.94422637
428	11.94422608
429	11.94417512
430	11.9441602
431	11.94409057
432	11.94407102
433	11.94402478
434	11.94402078
435	11.94398981
436	11.94392513
437	11.94388996
438	11.94386911
439	11.94382539
440	11.94381759
441	11.94378318
442	11.94378239
443	11.94369096
444	11.94367135
445	11.94366163
446	11.94360324
447	11.94356033
448	11.94349443
449	11.9434738
450	11.94347277
451	11.94347241
452	11.94340377
453	11.94337035
454	11.94334488
455	11.94331575
456	11.94325094
457	11.94319475
458	11.94317715
459	11.94317559
460	11.94312356
461	11.94301816
462	11.94294744
463	11.94289014
464	11.94286107
465	11.94275752
466	11.94274382
467	11.94273479
468	11.94272228
469	11.94270933
470	11.94265133
471	11.94263296
472	11.94260689
473	11.94255566
474	11.94254123
475	11.94250961
476	11.94247797
477	11.94245955
478	11.94244743
479	11.94244647
480	11.94241336
481	11.94241224
482	11.9423348
483	11.94231661
484	11.94227837
485	11.94223591
486	11.94221217
487	11.94217046
488	11.9421302
489	11.94208614
490	11.94208577
491	11.94204952
492	11.94202782
493	11.94200598
494	11.94198654
495	11.94192873
496	11.94192354
497	11.94188505
498	11.9417911
499	11.94176406
500	11.94175465
501	11.94174479
502	11.94171208
503	11.94168102
504	11.94164764
505	11.94162934
506	11.94156458
507	11.94153695
508	11.94153088
509	11.94150458
510	11.94148698
511	11.94143365
512	11.94141744
513	11.94141149
514	11.94141026
515	11.94139734
516	11.94139062
517	11.94138032
518	11.94137179
519	11.94137087
520	11.94136349
521	11.94133435
522	11.94128435
523	11.94126413
524	11.94124613
525	11.94124497
526	11.9412046
527	11.94116996
528	11.94112192
529	11.94108651
530	11.94104684
531	11.94102361
532	11.94100642
533	11.94093716
534	11.9409285
535	11.94091059
536	11.9409093
537	11.94088304
538	11.94086232
539	11.94084937
540	11.94084419
541	11.94083843
542	11.94082659
543	11.94081347
544	11.94078089
545	11.94077239
546	11.9407704
547	11.94076556
548	11.94076093
549	11.94074347
550	11.94072441
551	11.94070289
552	11.94067127
553	11.94067038
554	11.94066867
555	11.94066037
556	11.94065733
557	11.94064849
558	11.94063689
559	11.94061873
560	11.94060676
561	11.94060263
562	11.94057873
563	11.94056538
564	11.94055948
565	11.94052134
566	11.940507
567	11.94050041
568	11.94048288
569	11.94045842
570	11.94044962
571	11.94039205
572	11.94037292
573	11.94035957
574	11.94034164
575	11.94033979
576	11.94033882
577	11.94033475
578	11.94032134
579	11.94031334
580	11.94031248
581	11.94028315
582	11.94026849
583	11.9402578
584	11.94025634
585	11.94022873
586	11.94018519
587	11.94017678
588	11.94017486
589	11.94012826
590	11.94012637
591	11.94010436
592	11.94008439
593	11.94006913
594	11.94006358
595	11.94003642
596	11.94002724
597	11.9400063
598	11.93999695
599	11.9399838
600	11.93996983
601	11.93996261
602	11.93994389
603	11.93992595
604	11.93990972
605	11.93988916
606	11.93983871
607	11.93982651
608	11.93982316
609	11.93980231
610	11.93978246
611	11.9397757
612	11.939725
613	11.93972219
614	11.9397194
615	11.93970235
616	11.93967949
617	11.93967949
618	11.93966793
619	11.93966594
620	11.93964946
621	11.93963773
622	11.93963471
623	11.93962908
624	11.939586
625	11.93957777
626	11.93957739
627	11.9395712
628	11.9395623
629	11.93954174
630	11.93953077
631	11.93952159
632	11.93951911
633	11.93951576
634	11.93949155
635	11.9394821
636	11.9394535
637	11.93942359
638	11.9394038
639	11.93939964
640	11.93939863
641	11.93939658
642	11.93938399
643	11.93938319
644	11.93937148
645	11.93935542
646	11.93934377
647	11.93934234
648	11.93933715
649	11.93933279
650	11.93930864
651	11.93930666
652	11.93929976
653	11.93929441
654	11.93928847
655	11.9392827
656	11.93928008
657	11.93927211
658	11.93927096
659	11.93925255
660	11.93924599
661	11.93922692
662	11.93919923
663	11.93915402
664	11.93914932
665	11.93912468
666	11.93910772
667	11.93909481
668	11.93908667
669	11.9390768
670	11.9390719
671	11.93906644
672	11.93906359
673	11.93905907
674	11.93904277
675	11.93903468
676	11.93902834
677	11.93902712
678	11.93901297
679	11.93900575
680	11.93899713
681	11.93896188
682	11.93894739
683	11.93894388
684	11.93892777
685	11.93891853
686	11.93891205
687	11.93891017
688	11.93890573
689	11.9389007
690	11.93888964
691	11.93887992
692	11.9388774
693	11.93887302
694	11.93886792
695	11.9388576
696	11.93885477
697	11.93884559
698	11.93884547
699	11.93884156
700	11.93883537
701	11.93883244
702	11.93882245
703	11.93878748
704	11.9387874
705	11.93878577
706	11.9387803
707	11.93877546
708	11.93875319
709	11.93874973
710	11.93874943
711	11.93873734
712	11.93872795
713	11.93870259
714	11.9386993
715	11.93869815
716	11.93868242
717	11.93867922
718	11.93867749
719	11.93867418
720	11.9386574
721	11.93865341
722	11.93864163
723	11.93864083
724	11.9386302
725	11.93861584
726	11.93860796
727	11.93860751
728	11.93860272
729	11.9386022
730	11.93859414
731	11.938585
732	11.93858312
733	11.93855733
734	11.93855288
735	11.93854586
736	11.93854384
737	11.93853861
738	11.93853362
739	11.93852966
740	11.9385211
741	11.938509
742	11.93849462
743	11.93848319
744	11.93847719
745	11.93847698
746	11.9384678
747	11.93846307
748	11.9384593
749	11.93845893
750	11.93845665
751	11.93845516
752	11.93845388
753	11.93845173
754	11.93843816
755	11.93843312
756	11.93842998
757	11.93842572
758	11.93842103
759	11.93841635
760	11.93841137
761	11.93840779
762	11.93839964
763	11.93839926
764	11.93838075
765	11.9383802
766	11.93836129
767	11.93834329
768	11.93833526
769	11.93831877
770	11.93831297
771	11.93830544
772	11.93830507
773	11.93830148
774	11.93829164
775	11.9382895
776	11.93828753
777	11.93828256
778	11.93827994
779	11.93827935
780	11.93827849
781	11.93826188
782	11.93826031
783	11.93825903
784	11.9382588
785	11.93825307
786	11.93824465
787	11.93824256
788	11.93823454
789	11.93822907
790	11.93822208
791	11.93821798
792	11.93821599
793	11.93820842
794	11.93820224
795	11.93819511
796	11.9381873
797	11.93818626
798	11.93818582
799	11.93817318
800	11.93816684
801	11.93816096
802	11.93816002
803	11.93815475
804	11.93815026
805	11.93814291
806	11.93813698
807	11.93812722
808	11.93812606
809	11.93812514
810	11.93811776
811	11.93811431
812	11.93811204
813	11.93810404
814	11.93810277
815	11.93810104
816	11.93810015
817	11.93809829
818	11.93809776
819	11.93809527
820	11.93809178
821	11.93808824
822	11.93808546
823	11.93807893
824	11.93804837
825	11.93803218
826	11.93803095
827	11.9380279
828	11.93800795
829	11.93800601
830	11.93800373
831	11.93800158
832	11.93800049
833	11.93798595
834	11.93798203
835	11.93798024
836	11.93797416
837	11.93796737
838	11.93795892
839	11.93795782
840	11.93795413
841	11.93795126
842	11.93794621
843	11.93794367
844	11.93793387
845	11.93792817
846	11.93792611
847	11.93792432
848	11.93792259
849	11.93792082
850	11.93792005
851	11.93791938
852	11.93791917
853	11.93791727
854	11.93791487
855	11.93791204
856	11.93790716
857	11.9379021
858	11.93790105
859	11.93789996
860	11.93789038
861	11.93788975
862	11.937888
863	11.9378866
864	11.93788377
865	11.93787526
866	11.93786863
867	11.93785349
868	11.93785144
869	11.93784898
870	11.93784678
871	11.93784544
872	11.93784376
873	11.93783908
874	11.93783668
875	11.93783124
876	11.93782798
877	11.93782387
878	11.93782304
879	11.93781944
880	11.93781759
881	11.93781707
882	11.93781422
883	11.93781207
884	11.93779869
885	11.93779474
886	11.93779278
887	11.93778895
888	11.93778626
889	11.93778423
