iter	Passed	Remaining
406	7542	10989
407	7563	10974
408	7583	10957
409	7593	10927
410	7612	10909
411	7634	10896
412	7646	10868
413	7658	10839
414	7678	10824
415	7687	10791
416	7707	10776
417	7728	10760
418	7752	10749
419	7772	10733
420	7792	10717
421	7816	10705
422	7837	10691
423	7859	10676
424	7882	10664
425	7903	10648
426	7922	10631
427	7934	10603
428	7940	10569
429	7960	10552
430	7983	10540
431	8004	10524
432	8027	10511
433	8051	10499
434	8070	10482
435	8129	10516
436	8168	10524
437	8206	10530
438	8248	10541
439	8271	10527
440	8301	10523
441	8323	10508
442	8335	10480
443	8355	10463
444	8379	10451
445	8399	10433
446	8419	10416
447	8439	10399
448	8463	10385
449	8483	10369
450	8494	10340
451	8501	10306
452	8521	10289
453	8542	10273
454	8563	10257
455	8584	10241
456	8605	10225
457	8627	10209
458	8646	10190
459	8659	10165
460	8680	10148
461	8709	10141
462	8728	10123
463	8747	10104
464	8766	10085
465	8786	10069
466	8808	10052
467	8828	10035
468	8883	10058
469	8917	10055
470	8942	10044
471	8999	10067
472	9029	10060
473	9050	10043
474	9073	10028
475	9093	10010
476	9114	9994
477	9135	9976
478	9157	9959
479	9166	9930
480	9188	9914
481	9200	9887
482	9222	9871
483	9243	9854
484	9263	9836
485	9283	9818
486	9305	9802
487	9325	9784
488	9346	9766
489	9366	9748
490	9378	9722
491	9398	9703
492	9419	9687
493	9440	9669
494	9460	9651
495	9480	9633
496	9504	9619
497	9524	9600
498	9545	9583
499	9568	9568
500	9588	9550
501	9610	9534
502	9633	9518
503	9653	9500
504	9674	9482
505	9694	9464
506	9718	9449
507	9738	9431
508	9766	9421
509	9789	9405
510	9809	9386
511	9833	9372
512	9852	9353
513	9866	9329
514	9881	9305
515	9902	9287
516	9922	9269
517	9943	9252
518	9964	9235
519	9974	9207
520	9995	9189
521	10016	9172
522	10036	9153
523	10056	9134
524	10075	9115
525	10086	9089
526	10105	9069
527	10125	9051
528	10150	9037
529	10169	9018
530	10188	8998
531	10211	8982
532	10233	8966
533	10254	8948
534	10273	8929
535	10296	8913
536	10310	8889
537	10331	8871
538	10352	8854
539	10371	8834
540	10393	8818
541	10415	8800
542	10434	8782
543	10455	8763
544	10475	8745
545	10497	8728
546	10519	8711
547	10542	8695
548	10562	8677
549	10584	8659
550	10603	8640
551	10626	8624
552	10647	8606
553	10658	8580
554	10679	8562
555	10700	8545
556	10720	8526
557	10743	8510
558	10762	8490
559	10781	8471
560	10801	8452
561	10824	8436
562	10846	8419
563	10865	8399
564	10885	8381
565	10911	8366
566	10930	8347
567	10951	8329
568	10971	8310
569	10992	8292
570	11012	8273
571	11033	8255
572	11055	8238
573	11074	8219
574	11094	8200
575	11118	8184
576	11131	8160
577	11154	8143
578	11173	8124
579	11194	8106
580	11213	8086
581	11232	8067
582	11252	8048
583	11270	8028
584	11291	8010
585	11312	7991
586	11331	7972
587	11353	7955
588	11373	7936
589	11393	7917
590	11413	7898
591	11437	7882
592	11457	7863
593	11476	7844
594	11496	7825
595	11521	7809
596	11540	7790
597	11560	7771
598	11579	7751
599	11602	7734
600	11622	7715
601	11642	7697
602	11661	7677
603	11684	7660
604	11705	7642
605	11725	7623
606	11747	7605
607	11766	7586
608	11786	7567
609	11807	7549
610	11830	7531
611	11850	7512
612	11869	7493
613	11889	7474
614	11909	7455
615	11931	7437
616	11950	7418
617	11957	7391
618	11979	7373
619	12000	7355
620	12021	7336
621	12041	7317
622	12063	7300
623	12082	7280
624	12102	7261
625	12122	7242
626	12136	7220
627	12155	7200
628	12178	7183
629	12199	7164
630	12219	7145
631	12239	7126
632	12259	7107
633	12279	7089
634	12301	7070
635	12321	7052
636	12344	7034
637	12364	7015
638	12385	6996
639	12404	6977
640	12418	6954
641	12441	6937
642	12461	6918
643	12473	6895
644	12494	6877
645	12514	6857
646	12535	6839
647	12557	6821
648	12578	6802
649	12599	6784
650	12618	6764
651	12640	6747
652	12660	6727
653	12681	6709
654	12701	6690
655	12724	6672
656	12742	6652
657	12763	6633
658	12783	6614
659	12806	6597
660	12827	6578
661	12846	6558
662	12866	6539
663	12888	6522
664	12907	6502
665	12927	6483
666	12946	6463
667	12967	6445
668	12989	6426
669	13010	6408
670	13031	6389
671	13052	6371
672	13073	6352
673	13093	6333
674	13113	6314
675	13134	6295
676	13153	6275
677	13173	6256
678	13194	6237
679	13214	6218
680	13235	6199
681	13255	6180
682	13275	6161
683	13298	6143
684	13318	6124
685	13337	6104
686	13357	6085
687	13378	6066
688	13401	6049
689	13421	6030
690	13439	6009
691	13460	5990
692	13483	5973
693	13503	5954
694	13524	5935
695	13544	5915
696	13565	5897
697	13584	5877
698	13597	5855
699	13619	5837
700	13639	5817
701	13666	5801
702	13685	5781
703	13706	5762
704	13717	5739
705	13736	5720
706	13756	5701
707	13775	5681
708	13797	5663
709	13816	5643
710	13836	5624
711	13855	5604
712	13878	5586
713	13899	5567
714	13918	5548
715	13938	5528
716	13961	5510
717	13981	5491
718	14003	5472
719	14022	5453
720	14044	5434
721	14064	5415
722	14084	5396
723	14099	5374
724	14120	5356
725	14139	5336
726	14161	5317
727	14180	5298
728	14200	5278
729	14221	5259
730	14242	5241
731	14262	5221
732	14283	5202
733	14302	5183
734	14325	5164
735	14346	5145
736	14366	5126
737	14391	5109
738	14411	5089
739	14431	5070
740	14451	5051
741	14475	5033
742	14496	5014
743	14518	4995
744	14540	4977
745	14554	4955
746	14575	4936
747	14596	4917
748	14616	4898
749	14638	4879
750	14659	4860
751	14679	4841
752	14700	4821
753	14720	4802
754	14742	4783
755	14762	4764
756	14782	4745
757	14804	4726
758	14824	4707
759	14843	4687
760	14861	4667
761	14881	4648
762	14904	4629
763	14924	4610
764	14944	4590
765	14966	4571
766	14987	4552
767	15007	4533
768	15027	4514
769	15046	4494
770	15068	4475
771	15087	4455
772	15107	4436
773	15126	4416
774	15151	4398
775	15170	4379
776	15191	4360
777	15211	4340
778	15234	4321
779	15254	4302
780	15276	4283
781	15298	4264
782	15318	4245
783	15339	4226
784	15359	4206
785	15380	4187
786	15402	4168
787	15422	4149
788	15442	4129
789	15463	4110
790	15485	4091
791	15505	4072
792	15529	4053
793	15549	4034
794	15570	4014
795	15589	3995
796	15608	3975
797	15630	3956
798	15651	3937
799	15673	3918
800	15695	3899
801	15714	3879
802	15735	3860
803	15755	3840
804	15774	3821
805	15796	3802
806	15816	3782
807	15835	3762
808	15856	3743
809	15878	3724
810	15897	3704
811	15919	3685
812	15941	3666
813	15961	3647
814	15981	3627
815	16000	3607
816	16020	3588
817	16043	3569
818	16062	3549
819	16078	3529
820	16097	3509
821	16117	3490
822	16137	3470
823	16157	3451
824	16178	3431
825	16196	3411
826	16215	3392
827	16238	3373
828	16257	3353
829	16278	3334
830	16298	3314
831	16319	3295
832	16341	3276
833	16361	3256
834	16381	3237
835	16402	3217
836	16424	3198
837	16444	3178
838	16465	3159
839	16487	3140
840	16507	3120
841	16528	3101
842	16547	3081
843	16570	3062
844	16590	3043
845	16610	3023
846	16629	3003
847	16652	2984
848	16673	2965
849	16693	2945
850	16713	2926
851	16734	2906
852	16754	2887
853	16775	2867
854	16793	2848
855	16815	2828
856	16836	2809
857	16856	2789
858	16876	2770
859	16896	2750
860	16918	2731
861	16938	2711
862	16958	2692
863	16977	2672
864	16998	2652
865	17018	2633
866	17037	2613
867	17061	2594
868	17082	2575
869	17102	2555
870	17122	2535
871	17142	2516
872	17164	2497
873	17183	2477
874	17204	2457
875	17223	2438
876	17246	2418
877	17265	2399
878	17283	2379
879	17304	2359
880	17322	2339
881	17346	2320
882	17365	2301
883	17383	2281
884	17404	2261
885	17423	2241
886	17446	2222
887	17467	2203
888	17486	2183
889	17506	2163
890	17532	2144
891	17552	2125
892	17574	2105
893	17594	2086
894	17615	2066
895	17635	2046
896	17657	2027
897	17678	2007
898	17697	1988
899	17718	1968
900	17740	1949
901	17760	1929
902	17780	1909
903	17799	1890
904	17818	1870
905	17842	1851
906	17861	1831
907	17881	1811
908	17901	1792
909	17924	1772
910	17944	1753
911	17965	1733
912	17984	1713
913	18004	1694
914	18023	1674
915	18043	1654
916	18063	1634
917	18082	1615
918	18104	1595
919	18123	1575
920	18144	1556
921	18163	1536
922	18182	1516
923	18204	1497
924	18226	1477
925	18245	1458
926	18266	1438
927	18286	1418
928	18307	1399
929	18328	1379
930	18348	1359
931	18370	1340
932	18390	1320
933	18409	1300
934	18430	1281
935	18452	1261
936	18471	1241
937	18491	1222
938	18512	1202
939	18535	1183
940	18556	1163
941	18575	1143
942	18596	1124
943	18623	1104
944	18643	1085
945	18666	1065
946	18686	1045
947	18706	1026
948	18727	1006
949	18749	986
950	18769	967
951	18788	947
952	18808	927
953	18831	908
954	18851	888
955	18870	868
956	18889	848
957	18904	828
958	18924	809
959	18946	789
960	18966	769
961	18985	749
962	19006	730
963	19029	710
964	19049	690
965	19068	671
966	19087	651
967	19107	631
968	19131	612
969	19152	592
970	19172	572
971	19191	552
972	19213	533
973	19233	513
974	19254	493
975	19273	473
976	19296	454
977	19315	434
978	19335	414
979	19356	395
980	19379	375
981	19399	355
982	19418	335
983	19440	316
984	19460	296
985	19480	276
986	19500	256
987	19522	237
988	19543	217
989	19562	197
990	19582	177
991	19602	158
992	19626	138
993	19646	118
994	19665	98
995	19685	79
996	19706	59
997	19726	39
998	19748	19
999	19774	0
